Distribuidora;Conjunto;Municipio;Estado;MUNICÍPIO_R;Endereco;LAT_SUB;LONG_SUB
LIGHT;AGUA GRANDE AEREO;RIO DE JANEIRO;RJ;RIO DE JANEIRO;LIGHT SUBESTACAO AGUA GRANDE AEREO;-22,8285735;-43,3137045
LIGHT;ALDEIA CAMPISTA;RIO DE JANEIRO;RJ;RIO DE JANEIRO;LIGHT SUBESTACAO ALDEIA CAMPISTA;-22,9173967;-43,2383761
LIGHT;ALVORADA;RIO DE JANEIRO;RJ;RIO DE JANEIRO;LIGHT SUBESTACAO ALVORADA;-22,9945514;-43,3774027
LIGHT;ARI FRANCO;RIO DE JANEIRO;RJ;RIO DE JANEIRO;LIGHT SUBESTACAO ARI FRANCO;-22,8615394;-43,4726912
LIGHT;BAEPENDI AEREO;RIO DE JANEIRO;RJ;RIO DE JANEIRO;LIGHT SUBESTACAO BAEPENDI AEREO;-22,9331398;-43,1810004
LIGHT;BAEPENDI SUBTERRANEO;RIO DE JANEIRO;RJ;RIO DE JANEIRO;LIGHT SUBESTACAO BAEPENDI SUBTERRANEO;-22,9331398;-43,1810004
LIGHT;BARRA 2;RIO DE JANEIRO;RJ;RIO DE JANEIRO;LIGHT SUBESTACAO BARRA 2;-22,9978492;-43,3248706
LIGHT;BARRA AEREO;RIO DE JANEIRO;RJ;RIO DE JANEIRO;LIGHT SUBESTACAO BARRA AEREO;-22,9945514;-43,3774027
LIGHT;BARRA SUBTERRANEO;RIO DE JANEIRO;RJ;RIO DE JANEIRO;LIGHT SUBESTACAO BARRA SUBTERRANEO;-22,9945514;-43,3774027
LIGHT;BOCA DO MATO AEREO;RIO DE JANEIRO;RJ;RIO DE JANEIRO;LIGHT SUBESTACAO BOCA DO MATO AEREO;-22,9108744;-43,2849077
LIGHT;BOTAFOGO AEREO URBANO;RIO DE JANEIRO;RJ;RIO DE JANEIRO;LIGHT SUBESTACAO BOTAFOGO AEREO URBANO;-22,9456022;-43,188095
LIGHT;BOTAFOGO SUBTERRANEO;RIO DE JANEIRO;RJ;RIO DE JANEIRO;LIGHT SUBESTACAO BOTAFOGO SUBTERRANEO;-22,9456022;-43,188095
LIGHT;BRAS DE PINA;RIO DE JANEIRO;RJ;RIO DE JANEIRO;LIGHT SUBESTACAO BRAS DE PINA;-22,8267848;-43,2792561
LIGHT;BRISA MAR;RIO DE JANEIRO;RJ;RIO DE JANEIRO;LIGHT SUBESTACAO BRISA MAR;-22,9945514;-43,3774027
LIGHT;CACHAMBI AEREO;RIO DE JANEIRO;RJ;RIO DE JANEIRO;LIGHT SUBESTACAO CACHAMBI AEREO;-22,9173967;-43,2383761
LIGHT;CACHAMORRA;RIO DE JANEIRO;RJ;RIO DE JANEIRO;LIGHT SUBESTACAO CACHAMORRA;-22,9173967;-43,2383761
LIGHT;CAMARA;RIO DE JANEIRO;RJ;RIO DE JANEIRO;LIGHT SUBESTACAO CAMARA;-22,8882363;-43,4831487
LIGHT;CAMERINO AEREO URBANO;RIO DE JANEIRO;RJ;RIO DE JANEIRO;LIGHT SUBESTACAO CAMERINO AEREO URBANO;-22,9013664;-43,1862967
LIGHT;CAMERINO SUBTERRANEO;RIO DE JANEIRO;RJ;RIO DE JANEIRO;LIGHT SUBESTACAO CAMERINO SUBTERRANEO;-22,925504;-43,2214577
LIGHT;CAMPO MARTE AEREO;RIO DE JANEIRO;RJ;RIO DE JANEIRO;LIGHT SUBESTACAO CAMPO MARTE AEREO;-22,8980446;-43,2180272
LIGHT;CASCADURA AEREO;RIO DE JANEIRO;RJ;RIO DE JANEIRO;LIGHT SUBESTACAO CASCADURA AEREO;-22,8821353;-43,3333658
LIGHT;COLEGIO AEREO;RIO DE JANEIRO;RJ;RIO DE JANEIRO;LIGHT SUBESTACAO COLEGIO AEREO;-22,844441;-43,3358523
LIGHT;COPACABANA;RIO DE JANEIRO;RJ;RIO DE JANEIRO;LIGHT SUBESTACAO COPACABANA;-22,9633017;-43,1803773
LIGHT;COSMOS;RIO DE JANEIRO;RJ;RIO DE JANEIRO;LIGHT SUBESTACAO COSMOS;-22,9036648;-43,6149097
LIGHT;CURICICA AEREO;RIO DE JANEIRO;RJ;RIO DE JANEIRO;LIGHT SUBESTACAO CURICICA AEREO;-22,912225;-43,3729809
LIGHT;DEMOCRATICOS AEREO;RIO DE JANEIRO;RJ;RIO DE JANEIRO;LIGHT SUBESTACAO DEMOCRATICOS AEREO;-22,9945514;-43,3774027
LIGHT;ESPERANCA AEREO AT/MT;RIO DE JANEIRO;RJ;RIO DE JANEIRO;LIGHT SUBESTACAO ESPERANCA AEREO AT/MT;-22,9173967;-43,2383761
LIGHT;ESPERANCA AEREO MT/MT;RIO DE JANEIRO;RJ;RIO DE JANEIRO;LIGHT SUBESTACAO ESPERANCA AEREO MT/MT;-22,9920046;-43,2513093
LIGHT;FREI CANECA AEREO;RIO DE JANEIRO;RJ;RIO DE JANEIRO;LIGHT SUBESTACAO FREI CANECA AEREO;-22,9146894;-43,1985619
LIGHT;GOVERNADOR AEREO;RIO DE JANEIRO;RJ;RIO DE JANEIRO;LIGHT SUBESTACAO GOVERNADOR AEREO;-22,9173967;-43,2383761
LIGHT;GUADALUPE AEREO;RIO DE JANEIRO;RJ;RIO DE JANEIRO;LIGHT SUBESTACAO GUADALUPE AEREO;-22,9173967;-43,2383761
LIGHT;GUANABARA AEREO;RIO DE JANEIRO;RJ;RIO DE JANEIRO;LIGHT SUBESTACAO GUANABARA AEREO;-22,9945514;-43,3774027
LIGHT;HUMAITA AEREO;RIO DE JANEIRO;RJ;RIO DE JANEIRO;LIGHT SUBESTACAO HUMAITA AEREO;-22,9364549;-43,2445454
LIGHT;HUMAITA SUBTERRANEO;RIO DE JANEIRO;RJ;RIO DE JANEIRO;LIGHT SUBESTACAO HUMAITA SUBTERRANEO;-22,9364549;-43,2445454
LIGHT;ITAPEBA AEREO URBANO;RIO DE JANEIRO;RJ;RIO DE JANEIRO;LIGHT SUBESTACAO ITAPEBA AEREO URBANO;-22,999239;-43,430959
LIGHT;ITAPEBA SUBTERRANEO;RIO DE JANEIRO;RJ;RIO DE JANEIRO;LIGHT SUBESTACAO ITAPEBA SUBTERRANEO;-22,8923732;-43,3063444
LIGHT;JABOATAO AEREO;RIO DE JANEIRO;RJ;RIO DE JANEIRO;LIGHT SUBESTACAO JABOATAO AEREO;-22,8923732;-43,3063444
LIGHT;JARDIM BOTANICO AEREO;RIO DE JANEIRO;RJ;RIO DE JANEIRO;LIGHT SUBESTACAO JARDIM BOTANICO AEREO;-22,9633529;-43,2184657
LIGHT;LEBLON;RIO DE JANEIRO;RJ;RIO DE JANEIRO;LIGHT SUBESTACAO LEBLON;-22,9791196;-43,2187156
LIGHT;LEME AEREO URBANO;RIO DE JANEIRO;RJ;RIO DE JANEIRO;LIGHT SUBESTACAO LEME AEREO URBANO;-22,9633017;-43,1803773
LIGHT;LEME SUBTERRANEO;RIO DE JANEIRO;RJ;RIO DE JANEIRO;LIGHT SUBESTACAO LEME SUBTERRANEO;-22,9633017;-43,1803773
LIGHT;LEOPOLDO AEREO;RIO DE JANEIRO;RJ;RIO DE JANEIRO;LIGHT SUBESTACAO LEOPOLDO AEREO;-22,9173967;-43,2383761
LIGHT;MACKENZIE;RIO DE JANEIRO;RJ;RIO DE JANEIRO;LIGHT SUBESTACAO MACKENZIE;-22,9013664;-43,1862967
LIGHT;MATO ALTO;RIO DE JANEIRO;RJ;RIO DE JANEIRO;LIGHT SUBESTACAO MATO ALTO;-22,9419299;-43,5680786
LIGHT;MATURACA AEREO;RIO DE JANEIRO;RJ;RIO DE JANEIRO;LIGHT SUBESTACAO MATURACA AEREO;-22,9364549;-43,2445454
LIGHT;PADRE MIGUEL;RIO DE JANEIRO;RJ;RIO DE JANEIRO;LIGHT SUBESTACAO PADRE MIGUEL;-22,8914467;-43,4256522
LIGHT;PAVUNA;RIO DE JANEIRO;RJ;RIO DE JANEIRO;LIGHT SUBESTACAO PAVUNA;-22,8162902;-43,3879922
LIGHT;PEDRO ERNESTO AEREO;RIO DE JANEIRO;RJ;RIO DE JANEIRO;LIGHT SUBESTACAO PEDRO ERNESTO AEREO;-22,8463779;-43,2629249
LIGHT;PIEDADE;RIO DE JANEIRO;RJ;RIO DE JANEIRO;LIGHT SUBESTACAO PIEDADE;-22,8923732;-43,3063444
LIGHT;PORTA DAGUA AEREO;RIO DE JANEIRO;RJ;RIO DE JANEIRO;LIGHT SUBESTACAO PORTA DAGUA AEREO;-22,9381768;-43,3320065
LIGHT;POSTO SEIS AEREO URBANO;RIO DE JANEIRO;RJ;RIO DE JANEIRO;LIGHT SUBESTACAO POSTO SEIS AEREO URBANO;-22,9173967;-43,2383761
LIGHT;POSTO SEIS SUBTERRANEO;RIO DE JANEIRO;RJ;RIO DE JANEIRO;LIGHT SUBESTACAO POSTO SEIS SUBTERRANEO;-22,9633017;-43,1803773
LIGHT;RAMOS AEREO;RIO DE JANEIRO;RJ;RIO DE JANEIRO;LIGHT SUBESTACAO RAMOS AEREO;-22,8547579;-43,2535105
LIGHT;RECREIO;RIO DE JANEIRO;RJ;RIO DE JANEIRO;LIGHT SUBESTACAO RECREIO;-23,0112934;-43,4684545
LIGHT;RIO COMPRIDO AEREO;RIO DE JANEIRO;RJ;RIO DE JANEIRO;LIGHT SUBESTACAO RIO COMPRIDO AEREO;-22,925504;-43,2214577
LIGHT;SAMARITANO AEREO URBANO;RIO DE JANEIRO;RJ;RIO DE JANEIRO;LIGHT SUBESTACAO SAMARITANO AEREO URBANO;-22,925504;-43,2214577
LIGHT;SAMARITANO SUBTERRANEO;RIO DE JANEIRO;RJ;RIO DE JANEIRO;LIGHT SUBESTACAO SAMARITANO SUBTERRANEO;-22,9945514;-43,3774027
LIGHT;SANTISSIMO AEREO;RIO DE JANEIRO;RJ;RIO DE JANEIRO;LIGHT SUBESTACAO SANTISSIMO AEREO;-22,866839;-43,5483904
LIGHT;SAO CONRADO AEREO;RIO DE JANEIRO;RJ;RIO DE JANEIRO;LIGHT SUBESTACAO SAO CONRADO AEREO;-22,9920046;-43,2513093
LIGHT;SAO CONRADO SUBTERRANEO;RIO DE JANEIRO;RJ;RIO DE JANEIRO;LIGHT SUBESTACAO SAO CONRADO SUBTERRANEO;-22,9920046;-43,2513093
